from	to	name	color
32126590	32126590	MPG	black
32131590	32131590	HS45	black
32145590	32145590	HS31	black
32147590	32147590	HS29	black
32150590	32150590	HS26	black
32155590	32155590	HS21	black
32164590	32164590	HS12	black
32167590	32167590	Promo	black
32168590	32168590	HS8	black
32176590	32176590	Zeta	black
32183590	32183590	Hba-a1	red
32196590	32196590	Hba-a2	red
